food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_Nutrition,Nutrition_Density,Protein_Ratio,Carbohydrate_Ratio,Fat_Ratio,Micronutrient_Sum,Nutrient_to_Calorie,Fiber_to_Sugar_Ratio,Saturated_Fat_Ratio
scallop squash cooked,29,0.3,0.034,0.081,0.1,5.9,2.7,1.9,3.4,0.0,0.4,171.0,0.0,0.085,0.037,0.0,0.036,0.8,0.1,0.2,19.4,0.0,0.2,0.035,27.0,0.1,0.6,34.2,0.2,50.4,252.0,0.055,0.4,58.5,297.615,10.262586206896552,0.26206896551724135,0.8137931034482759,0.09310344827586206,286.2,9.86896551724138,1.259259259259259,0.11333333333333334
pumpkin leaves cooked,15,0.2,0.092,0.017,0.093,2.4,0.5,1.9,1.9,0.0,0.2,65.7,0.0,0.096,0.027,0.0,0.053,0.6,0.078,0.1,0.7,0.0,0.7,0.049,30.5,0.029,2.3,27.0,0.3,56.1,311.0,0.083,0.1,39.9,344.402,22.96013333333333,0.5066666666666666,0.64,0.12000000000000001,338.0,22.533333333333335,3.8,0.45999999999999996
sweet potato baked,103,0.2,0.013,0.072,0.1,23.6,7.4,2.3,3.8,0.0,0.07,86.4,0.0,0.1,0.043,0.0,0.1,1.7,1.0,0.3,22.3,0.0,0.8,0.04,43.3,0.2,0.8,30.8,0.6,61.6,541.5,0.03,0.4,96.3,602.185,5.846456310679611,0.08932038834951456,0.9165048543689321,0.017475728155339806,572.3,5.55631067961165,0.5135135135135135,0.06499999999999999
chinese cabbage pe tsai raw,12,0.2,0.033,0.087,0.004,2.5,1.1,0.9,0.9,0.0,0.049,71.7,0.0,0.068,0.05,0.0,0.028,0.3,0.055,0.2,20.5,0.0,0.003,0.088,58.5,0.074,0.2,9.9,0.1,22.0,180.9,0.03,0.2,83.7,195.22400000000002,16.268666666666668,0.3,0.8333333333333334,0.15,190.8,15.9,0.8181818181818181,0.165
taro raw,116,0.2,0.099,0.062,0.01,27.5,0.4,1.6,4.3,0.0,0.054,73.5,0.0,0.028,0.024,0.0,0.059,0.6,0.3,0.3,4.7,0.0,2.5,0.001,44.7,0.2,0.6,34.3,0.4,87.4,614.6,0.097,0.2,83.6,682.471,5.883370689655172,0.055172413793103454,0.9482758620689655,0.015517241379310345,648.9,5.593965517241379,10.749999999999998,0.495
pumpkin flowers cooked,20,0.1,0.057,0.007,0.084,4.4,3.2,1.5,1.2,0.0,0.082,127.6,0.0,0.019,0.049,0.0,0.041,0.4,0.0,0.094,6.7,0.0,0.061,0.0,49.6,0.1,1.2,33.5,0.0,45.6,142.0,0.007,0.1,64.7,182.748,9.1374,0.3,0.8800000000000001,0.045,175.5,8.775,0.37499999999999994,0.57
yellow corn raw,606,7.9,1.1,2.1,3.6,123.3,1.1,15.6,12.1,0.0,0.06,17.2,0.0,0.6,0.057,0.0,0.3,6.0,0.7,1.0,0.0,0.0,0.8,0.016,11.6,0.5,4.5,210.8,0.8,348.6,476.4,0.032,3.7,175.0,845.0,1.3943894389438944,0.10297029702970296,0.8138613861386138,0.11732673267326735,687.2,1.133993399339934,10.999999999999998,0.13924050632911392
endive,9,0.1,0.022,0.044,0.072,1.7,0.1,0.6,1.6,0.0,0.08,46.9,0.0,0.092,0.065,0.0,0.017,0.2,0.5,0.095,3.3,0.0,0.2,0.1,26.0,0.002,0.4,7.5,0.2,14.0,157.0,0.085,0.4,33.7,168.538,18.726444444444446,0.26666666666666666,0.7555555555555555,0.1,164.5,18.27777777777778,16.0,0.21999999999999997
sweet green peppers raw,30,0.3,0.053,0.043,0.037,6.9,3.6,1.3,2.5,0.0,0.023,139.9,0.0,0.013,0.011,0.0,0.068,0.7,0.1,0.3,119.8,0.0,0.6,0.083,14.9,0.035,0.5,14.9,0.2,29.8,260.8,0.0,0.2,146.2,286.533,9.5511,0.17333333333333334,0.92,0.09,275.7,9.19,0.6944444444444444,0.17666666666666667
chinese cabbage pak choi cooked,20,0.3,0.014,0.046,0.1,3.0,1.4,2.7,1.7,0.0,0.5,162.4,0.0,0.068,0.012,0.0,0.1,0.7,0.1,0.3,44.2,0.0,0.2,0.049,158.1,0.088,1.8,18.7,0.2,49.3,630.7,0.055,0.3,211.8,656.96,32.848,0.54,0.6,0.13499999999999998,649.4000000000001,32.470000000000006,1.2142857142857144,0.04666666666666667
watercress,4,0.006,0.071,0.027,0.0,0.4,0.099,0.8,0.2,0.0,0.038,32.3,0.0,0.0,0.028,0.085,0.0,0.034,0.003,0.1,0.085,14.6,0.0,0.3,0.069,40.8,0.063,0.056,7.1,0.048,20.4,112.2,0.095,1.59,36.554,9.1385,0.8,0.4,0.0135,35.056,8.764,2.0202020202020203,11.833333333333332
beet greens cooked,39,0.3,0.025,0.067,0.1,7.9,0.9,3.7,4.2,0.0,0.3,128.3,0.0,0.2,0.009,0.0,0.4,0.7,0.5,0.2,35.9,0.0,2.6,0.7,164.2,0.4,2.7,97.9,0.7,59.0,1309.0,0.097,0.7,218.9,1422.892,36.48441025641026,0.3794871794871795,0.8102564102564103,0.06923076923076922,1406.9,36.07435897435898,4.666666666666667,0.08333333333333334
winter squash cooked,76,0.7,0.1,0.083,0.3,18.1,6.8,1.8,5.7,0.0,0.068,182.9,0.0,0.017,0.009,0.0,0.1,1.0,0.5,0.3,3.7,0.0,0.2,0.036,45.1,0.2,0.9,26.7,0.4,39.0,494.1,0.086,0.5,76.0,546.883,7.195828947368422,0.09473684210526316,0.9526315789473685,0.08289473684210526,520.8000000000001,6.85263157894737,0.8382352941176471,0.14285714285714288
new zealand spinach raw,8,0.1,0.077,0.078,0.043,1.4,0.2,0.8,0.8,0.0,0.017,52.6,0.0,0.051,0.063,0.0,0.003,0.3,0.2,0.2,16.8,0.0,0.8,0.2,32.5,0.07,0.4,21.8,0.4,15.7,72.8,0.006,0.2,52.8,97.798,12.22475,0.4,0.7,0.1125,94.6,11.825,4.0,0.7699999999999999
okra,4,0.082,0.001,0.019,0.053,0.9,0.2,0.2,0.4,0.0,0.098,10.7,0.0,0.041,0.067,0.0,0.024,0.1,0.018,0.044,2.7,0.0,0.001,0.085,9.8,0.038,0.082,6.8,0.031,7.3,35.6,0.066,0.04,14.081,43.973,10.99325,0.2,0.9,0.1845,42.4,10.6,2.0,0.012195121951219513
turnip greens raw,18,0.2,0.009,0.04,0.066,3.9,0.4,0.8,1.8,0.0,0.012,49.3,0.0,0.015,0.1,0.0,0.015,0.3,0.2,0.1,33.0,0.0,1.6,0.1,104.5,0.2,0.6,17.1,0.3,23.1,162.8,0.026,0.1,144.8,186.51500000000001,10.361944444444445,0.17777777777777778,0.8666666666666667,0.1,179.9,9.994444444444445,4.5,0.04499999999999999
cucumber,23,0.2,0.068,0.044,0.041,5.4,2.5,1.0,0.8,0.0,0.061,142.8,0.0,0.064,0.08,0.0,0.066,0.1,0.4,0.046,4.2,0.0,0.049,0.038,24.0,0.065,0.4,19.5,0.1,36.0,220.5,0.082,0.3,36.0,247.353,10.754478260869565,0.17391304347826086,0.9391304347826087,0.0782608695652174,240.0,10.434782608695652,0.32,0.34
green tomato,42,0.4,0.024,0.018,0.1,9.3,7.3,2.2,2.0,0.0,0.055,169.3,0.0,0.1,0.027,0.0,0.017,0.9,0.9,0.1,42.6,0.0,0.7,0.003,23.7,0.2,0.9,18.2,0.2,51.0,371.3,0.051,0.1,81.1,403.142,9.598619047619048,0.20952380952380953,0.8857142857142858,0.08571428571428572,389.5,9.273809523809524,0.273972602739726,0.06
