food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_Nutrition,Nutrition_Density,Protein_Ratio,Carbohydrate_Ratio,Fat_Ratio,Micronutrient_Sum,Nutrient_to_Calorie,Fiber_to_Sugar_Ratio,Saturated_Fat_Ratio
burdock root cooked,146,0.2,0.0,0.0,0.0,35.1,5.9,3.5,3.0,0.0,0.4,125.6,0.0,0.005,0.067,0.0,0.079,0.5,0.6,0.5,4.3,0.0,0.8,0.063,81.3,0.1,1.3,64.7,0.4,154.4,597.6,0.053,0.6,128.7,703.9000000000001,4.82123287671233,0.0958904109589041,0.9616438356164384,0.012328767123287671,662.3000000000001,4.536301369863014,0.5084745762711864,0.0
romaine lettuce,8,0.1,0.049,0.085,0.079,1.5,0.6,0.6,1.0,0.0,0.083,44.5,0.0,0.09,0.051,0.0,0.006,0.1,0.092,0.026,1.9,0.0,0.011,0.099,15.5,0.07,0.5,6.6,0.002,14.1,116.1,0.045,0.1,21.1,126.01299999999999,15.751624999999999,0.3,0.75,0.1125,122.69999999999999,15.337499999999999,1.6666666666666667,0.49
okra cooked,35,0.3,0.032,0.033,0.034,7.2,3.8,3.0,4.0,0.0,0.4,148.1,0.0,0.2,0.097,0.0,0.024,1.4,0.3,0.3,26.1,0.0,0.4,0.057,123.2,0.1,0.4,57.6,0.5,51.2,216.0,0.065,0.7,164.2,287.899,8.225685714285714,0.34285714285714286,0.8228571428571428,0.07714285714285714,273.6,7.817142857142858,1.0526315789473684,0.10666666666666667
lambs quarters cooked,58,1.3,0.085,0.2,0.6,9.0,1.1,5.8,3.8,0.0,0.5,160.0,0.0,0.2,0.077,0.0,0.5,1.6,0.1,0.3,66.6,0.0,0.0,0.9,464.4,0.4,1.3,41.4,0.9,81.0,518.4,0.005,0.5,552.2,579.285,9.987672413793103,0.39999999999999997,0.6206896551724138,0.2017241379310345,559.8,9.651724137931033,3.454545454545454,0.06538461538461539
new zealand spinach cooked,22,0.3,0.027,0.028,0.1,3.8,0.5,2.3,2.5,0.0,0.6,170.6,0.0,0.022,0.038,0.0,0.2,0.7,0.5,0.4,28.8,0.0,2.2,0.5,86.4,0.1,1.2,57.6,0.9,39.6,183.6,0.055,0.6,125.3,249.95499999999998,11.361590909090909,0.41818181818181815,0.6909090909090909,0.12272727272727271,241.2,10.963636363636363,5.0,0.09
zucchini cooked,27,0.6,0.1,0.095,0.3,4.8,3.1,2.1,1.8,0.0,0.077,171.4,0.0,0.008,0.097,0.0,0.039,0.9,0.5,0.1,23.2,0.0,0.2,0.075,32.4,0.075,0.7,34.2,0.3,66.6,475.2,0.025,0.6,65.6,518.595,19.207222222222224,0.3111111111111111,0.7111111111111111,0.19999999999999998,509.4,18.866666666666667,0.5806451612903226,0.16666666666666669
dill pickled cucumber,17,0.2,0.08,0.055,0.065,3.7,1.9,0.9,1.6,0.0,1.3,134.9,0.0,0.098,0.029,0.0,0.096,0.1,0.048,0.046,1.1,0.0,0.1,0.026,60.1,0.059,0.5,10.0,0.065,17.2,131.6,0.025,0.2,68.1,148.0,8.705882352941176,0.21176470588235294,0.8705882352941177,0.10588235294117647,141.6,8.329411764705881,0.8421052631578948,0.39999999999999997
banana pepper,9,0.1,0.018,0.073,0.098,1.8,0.6,0.5,1.1,0.0,0.039,30.3,0.0,0.04,0.082,0.0,0.064,0.4,0.098,0.1,27.3,0.0,0.2,0.033,4.6,0.058,0.2,5.6,0.028,10.6,84.5,0.032,0.097,35.6,93.689,10.409888888888888,0.2222222222222222,0.8,0.1,90.1,10.011111111111111,1.8333333333333335,0.17999999999999997
oriental radish raw,61,0.3,0.1,0.01,0.2,13.9,8.5,2.0,5.4,0.0,0.014,319.8,0.0,0.006,0.073,0.0,0.035,0.7,0.5,0.2,74.4,0.0,0.0,0.059,91.3,0.4,1.4,54.1,0.1,77.7,767.3,0.096,0.5,188.7,843.01,13.81983606557377,0.13114754098360656,0.9114754098360656,0.04426229508196721,821.4,13.465573770491803,0.6352941176470589,0.33333333333333337
swiss chard raw,7,0.042,0.065,0.092,0.013,1.3,0.4,0.6,0.6,0.0,0.089,33.4,0.0,0.02,0.007,0.0,0.052,0.1,0.057,0.045,10.8,0.0,0.7,0.3,18.4,0.073,0.6,29.2,0.1,16.6,136.4,0.047,0.1,32.314,168.27,24.03857142857143,0.34285714285714286,0.7428571428571429,0.054,165.6,23.657142857142855,1.4999999999999998,1.5476190476190477
split peas cooked,227,0.8,0.1,0.2,0.3,40.2,5.7,16.3,16.3,0.0,0.5,136.2,0.0,0.4,0.1,0.0,0.1,1.7,1.2,0.086,0.8,0.0,0.028,0.063,27.4,0.4,2.5,70.6,0.8,194.0,709.5,0.059,2.0,104.3,853.5,3.7599118942731278,0.2872246696035242,0.7083700440528635,0.03171806167400881,780.1,3.4365638766519826,2.8596491228070176,0.125
swiss chard cooked,35,0.1,0.0,0.0,0.0,7.2,1.9,3.3,3.7,0.0,0.7,162.1,0.0,0.01,0.076,0.0,0.2,0.6,0.3,0.1,31.5,0.0,3.3,0.6,101.5,0.3,4.0,150.5,0.6,57.8,960.8,0.083,0.6,151.3,1125.5,32.15714285714286,0.3771428571428571,0.8228571428571428,0.025714285714285714,1111.3,31.75142857142857,1.9473684210526319,0.0
nopales cooked,22,0.003,0.064,0.007,0.071,4.9,1.7,2.0,3.0,0.0,0.087,140.5,0.0,0.043,0.042,0.0,0.039,0.4,0.2,0.004,7.9,0.0,0.0,0.031,244.4,0.05,0.7,70.0,0.6,23.8,290.6,0.043,0.3,262.963,370.64200000000005,16.84736363636364,0.36363636363636365,0.890909090909091,0.0012272727272727272,360.6,16.39090909090909,1.7647058823529411,21.333333333333332
chinese cabbage pak choi raw,9,0.1,0.013,0.03,0.034,1.5,0.8,1.1,0.7,0.0,0.087,66.7,0.0,0.035,0.088,0.0,0.059,0.4,0.077,0.1,31.5,0.0,0.068,0.079,73.5,0.021,0.6,13.3,0.1,25.9,176.4,0.083,0.1,109.0,193.077,21.453,0.48888888888888893,0.6666666666666666,0.1,189.70000000000002,21.07777777777778,0.8749999999999999,0.12999999999999998
mountain yam raw,91,0.1,0.015,0.047,0.027,22.2,0.4,1.8,3.4,0.0,0.021,110.8,0.0,0.1,0.057,0.0,0.093,0.7,0.6,0.2,3.5,0.0,0.3,0.078,35.4,0.1,0.6,16.3,0.3,46.2,568.5,0.056,0.4,67.0,612.289,6.7284505494505495,0.07912087912087912,0.9758241758241758,0.00989010989010989,584.8,6.426373626373626,8.5,0.15
rutabaga raw,286,1.2,0.2,0.2,0.7,66.5,34.4,8.3,17.8,0.0,0.061,690.4,0.0,0.7,0.2,0.0,0.3,5.4,1.2,0.8,193.0,0.0,2.3,0.048,332.0,0.2,3.4,154.4,1.0,409.2,2354.6,0.041,1.9,622.2,2602.7,9.10034965034965,0.11608391608391609,0.9300699300699301,0.037762237762237756,2509.0,8.772727272727273,0.5174418604651163,0.16666666666666669
pumpkin canned,83,0.7,0.4,0.098,0.032,19.8,8.1,2.7,7.1,0.0,0.6,220.4,0.0,0.092,0.015,0.0,0.1,0.9,1.0,0.1,10.3,0.0,2.6,0.067,63.7,0.3,3.4,56.4,0.4,85.8,504.7,0.064,0.4,107.7,591.23,7.123253012048193,0.13012048192771086,0.9542168674698795,0.07590361445783132,561.1,6.760240963855422,0.8765432098765432,0.5714285714285715
red peppers canned,15,0.058,0.03,0.069,0.098,3.7,2.4,0.7,0.9,0.0,0.9,67.5,0.0,0.05,0.017,0.0,0.016,0.6,0.002,0.1,49.6,0.0,0.5,0.037,5.1,0.076,0.4,10.2,0.1,12.4,136.5,0.027,0.1,60.443,152.197,10.146466666666667,0.18666666666666665,0.9866666666666667,0.034800000000000005,146.7,9.78,0.375,0.5172413793103448
tomatoes in tomato juice canned,41,0.3,0.08,0.013,0.1,9.6,5.7,1.9,2.4,0.0,0.3,226.3,0.0,0.1,0.083,0.0,0.1,1.7,0.3,0.3,22.3,0.0,1.6,0.024,74.4,0.2,2.3,26.4,0.2,45.6,451.2,0.06,0.3,113.2,491.693,11.99251219512195,0.18536585365853658,0.9365853658536585,0.06585365853658535,477.59999999999997,11.648780487804878,0.42105263157894735,0.26666666666666666
asparagus canned,62,0.7,0.2,0.015,0.3,10.2,4.1,7.4,4.1,0.0,0.1,387.7,0.0,0.2,0.3,0.0,0.4,3.5,0.5,0.4,67.8,0.0,1.2,0.2,61.7,0.4,2.5,37.0,0.6,156.2,706.9,0.025,1.9,154.4,766.115,12.356693548387097,0.4774193548387097,0.6580645161290322,0.10161290322580645,743.9,11.998387096774193,1.0,0.28571428571428575
turnip greens canned,27,0.4,0.1,0.047,0.2,4.0,0.6,2.0,1.9,0.0,0.082,136.4,0.0,0.017,0.1,0.0,0.078,0.5,0.3,0.098,22.3,0.0,2.1,0.4,169.9,0.1,2.2,28.8,0.4,30.2,203.0,0.066,0.3,202.7,240.047,8.890629629629629,0.2962962962962963,0.5925925925925926,0.13333333333333333,231.8,8.585185185185185,3.1666666666666665,0.25
sweet potato canned,568,1.3,0.3,0.08,0.5,133.5,98.3,6.3,16.0,0.0,0.3,493.7,0.0,0.2,0.074,0.0,0.3,2.9,2.1,0.3,67.0,0.0,6.0,0.098,95.7,0.8,5.1,82.9,3.2,172.3,1180.3,0.037,1.2,324.9,1419.88,2.4997887323943666,0.04436619718309859,0.9401408450704225,0.020598591549295775,1263.2,2.223943661971831,0.16276703967446593,0.23076923076923075
crookneck squash canned,27,0.1,0.088,0.065,0.027,6.2,2.5,1.3,2.9,0.0,0.006,201.7,0.0,0.039,0.013,0.0,0.034,0.9,0.1,0.018,5.7,0.0,0.3,0.052,25.2,0.2,1.5,27.3,0.2,44.1,201.6,0.026,0.6,42.9,239.48,8.86962962962963,0.1925925925925926,0.9185185185185185,0.03333333333333333,228.9,8.477777777777778,1.16,0.8799999999999999
tomatoes canned,77,0.7,0.062,0.1,0.3,17.6,10.6,4.0,4.6,0.0,0.3,216.4,0.0,0.2,0.083,0.0,0.1,3.0,0.7,0.4,22.3,0.0,3.0,0.038,82.3,0.4,3.1,48.4,0.4,77.4,709.1,0.096,0.7,134.6,784.162,10.183922077922078,0.2077922077922078,0.9142857142857144,0.08181818181818182,757.5,9.837662337662337,0.43396226415094336,0.08857142857142858
pimento canned,44,0.6,0.004,0.081,0.3,9.8,5.2,2.1,3.6,0.0,0.006,178.8,0.0,0.061,0.016,0.0,0.1,1.2,0.068,0.4,163.0,0.0,1.3,0.098,11.5,0.071,3.2,11.5,0.2,32.6,303.4,0.099,0.4,193.8,330.78499999999997,7.517840909090908,0.19090909090909092,0.890909090909091,0.12272727272727271,314.9,7.156818181818181,0.6923076923076923,0.006666666666666667
green peppers canned,15,0.074,0.096,0.015,0.062,3.7,2.3,0.7,0.9,0.0,0.9,67.5,0.0,0.052,0.037,0.0,0.01,0.6,0.093,0.1,49.6,0.0,0.5,0.003,5.1,0.062,0.4,10.2,0.1,12.4,136.5,0.034,0.1,60.468,152.173,10.144866666666667,0.18666666666666665,0.9866666666666667,0.044399999999999995,146.7,9.78,0.391304347826087,1.2972972972972974
tomato paste canned,215,1.2,0.3,0.2,0.4,49.5,31.9,11.3,10.7,0.0,2.1,192.6,0.0,0.2,0.018,0.0,0.4,8.1,0.4,0.6,57.4,0.0,11.3,0.005,94.3,1.0,7.8,110.0,0.8,217.5,2656.7,0.07,1.7,232.2,2839.1,13.205116279069767,0.2102325581395349,0.9209302325581395,0.05023255813953488,2766.7,12.868372093023256,0.335423197492163,0.25
side salad mcdonalds,17,0.2,0.014,0.061,0.031,3.7,1.9,0.9,1.4,0.0,0.037,81.7,0.0,0.098,0.059,0.0,0.042,0.2,0.0,0.0,13.7,0.0,0.0,0.0,20.9,0.0,0.6,0.0,0.0,0.0,191.4,0.0,0.0,41.4,197.506,11.618,0.21176470588235294,0.8705882352941177,0.10588235294117647,191.4,11.258823529411766,0.7368421052631579,0.06999999999999999
arugula,5,0.1,0.029,0.015,0.057,0.7,0.4,0.5,0.3,0.0,0.018,18.3,0.0,0.015,0.055,0.0,0.053,0.07,0.035,0.044,3.0,0.0,0.043,0.067,32.0,0.072,0.3,9.4,0.095,10.4,73.8,0.011,0.091,36.9,84.801,16.9602,0.4,0.5599999999999999,0.18,83.2,16.64,0.7499999999999999,0.29
shiitake mushrooms raw,6,0.039,0.0,0.0,0.0,1.3,0.5,0.4,0.5,0.0,0.096,17.1,0.0,0.012,0.05,0.0,0.023,0.7,0.3,0.053,0.0,0.038,0.0,0.0,0.4,0.015,0.05,3.8,0.09,21.3,57.8,0.014,0.2,2.788,63.837999999999994,10.639666666666665,0.26666666666666666,0.8666666666666667,0.058499999999999996,61.638,10.273,1.0,0.0
crimini mushrooms,1,0.018,0.054,0.014,0.025,0.3,0.1,0.2,0.064,0.0,0.086,5.5,0.0,0.0,0.087,0.074,0.041,0.076,0.2,0.094,0.001,0.0,0.099,0.015,0.0,1.1,0.098,0.007,0.5,0.048,7.2,26.9,0.038,0.681,7.864000000000001,7.864000000000001,0.8,1.2,0.16199999999999998,7.207,7.207,0.64,3.0
mushrooms raw,15,0.2,0.052,0.0,0.1,2.3,1.4,2.2,0.7,0.0,0.053,64.7,0.0,0.05,0.093,0.0,0.3,2.5,1.0,0.025,1.5,0.005,0.026,0.0,2.1,0.2,0.4,6.3,0.042,60.2,222.6,0.061,0.4,9.4,234.257,15.617133333333333,0.5866666666666667,0.6133333333333333,0.12000000000000001,228.905,15.260333333333334,0.5,0.25999999999999995
portabella mushrooms raw,19,0.3,0.036,0.016,0.1,3.3,2.2,1.8,1.1,0.0,0.014,79.8,0.0,0.064,0.075,0.06,0.1,3.9,1.0,0.1,0.0,0.08,0.049,0.0,2.6,0.2,0.3,0.0,0.092,92.9,313.0,0.015,0.5,9.4,319.432,16.81221052631579,0.37894736842105264,0.6947368421052631,0.14210526315789473,313.08,16.477894736842103,0.5,0.12
