food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
pistachio nuts raw,691,55.8,6.8,29.3,16.9,33.8,9.4,24.9,12.7,0.0,0.037,4.8,0.0,1.1,0.087,0.0,0.2,1.6,0.6,2.1,6.9,0.0,2.8,0.0,129.2,1.6,4.8,148.8,1.5,602.7,1260.8,0.078,2.7,268.1
peanuts raw,828,71.9,10.0,35.7,22.7,23.5,5.8,37.7,12.4,0.0,0.038,9.5,0.0,0.9,0.4,0.0,0.2,17.6,2.6,0.5,0.0,0.0,12.2,0.0,134.3,1.7,6.7,245.3,2.8,549.0,1029.3,0.032,4.8,286.5
hazelnuts raw,471,45.6,3.3,34.2,5.9,12.5,3.3,11.2,7.3,0.0,0.0,4.0,0.0,0.5,0.034,0.0,0.022,1.4,0.7,0.4,4.7,0.0,11.3,0.097,85.5,1.3,3.5,122.3,4.6,217.5,510.0,0.012,1.8,170.3
pecans raw,753,78.4,6.7,44.5,23.6,15.1,4.3,10.0,10.5,0.0,0.0,3.8,0.0,0.7,0.019,0.0,0.1,1.3,0.9,0.2,1.2,0.0,1.5,0.033,76.3,1.3,2.8,131.9,4.9,301.9,446.9,0.039,4.9,194.3
virginia peanuts raw,822,71.2,9.3,36.9,21.5,24.1,5.8,36.8,12.4,0.0,0.008,10.1,0.0,1.0,0.3,0.0,0.2,18.1,2.6,0.5,0.0,0.0,9.6,0.0,129.9,1.6,3.7,249.7,2.5,554.8,1007.4,0.042,6.5,278.1
puff pastry,1367,94.3,13.5,21.6,54.5,112.0,1.8,18.1,3.7,0.0,0.6,18.1,0.0,0.8,0.1,0.0,0.6,9.3,0.0,0.062,0.0,0.0,1.3,0.03,24.5,0.3,6.4,39.2,1.2,147.0,151.9,0.051,1.3,259.0
bagel chips,789,26.5,12.0,10.6,3.6,116.1,10.5,21.6,7.2,0.0,0.4,8.8,0.0,0.9,0.2,0.0,0.6,13.4,0.8,0.2,0.0,0.0,1.4,0.031,42.0,0.3,8.8,68.3,1.2,229.3,245.0,0.03,1.8,222.2
gatto di patate home made,202,9.4,4.6,21.0,9.4,4.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4
corn chips unsalted,490,29.4,3.8,8.0,15.0,50.5,1.2,5.8,3.9,0.0,0.024,0.9,0.0,0.1,0.028,0.0,0.1,1.3,0.0,0.2,1.8,0.0,1.2,0.026,109.1,0.2,1.5,61.6,0.0,161.9,162.8,0.087,0.7,202.0
potato chips reduced fat,801,35.4,7.1,8.2,18.6,113.7,0.4,12.1,10.0,0.0,0.8,1.7,0.0,0.4,0.028,0.0,0.5,11.9,0.5,1.1,43.7,0.0,9.3,0.076,35.7,1.0,2.3,151.3,0.7,328.1,2964.8,0.08,0.1,252.9
ranch flavor tortilla chips,992,48.8,7.0,14.0,26.8,124.2,6.0,14.2,7.9,0.0,1.0,6.2,0.0,0.093,0.0,0.0,0.1,2.6,1.2,0.4,0.0,0.0,0.0,0.073,265.3,0.2,2.7,172.3,0.7,499.0,512.8,0.032,2.8,463.1
potato chips barbecue,970,64.2,15.9,12.9,32.4,104.5,14.0,15.2,8.7,0.0,1.3,3.8,0.0,0.4,0.2,0.0,0.4,9.3,1.2,1.2,67.1,0.0,12.2,0.015,99.0,0.7,3.8,148.5,1.0,368.3,2496.8,0.02,1.9,362.5
adobo fresco,780,60.2,8.4,43.1,5.9,53.6,5.8,5.8,3.7,0.0,49.4,63.6,0.0,0.1,0.094,0.0,0.037,1.4,0.0,0.0,16.7,0.0,7.7,0.088,354.2,0.088,9.2,66.2,0.0,109.4,538.6,0.024,0.7,503.4
white sauce,368,26.6,7.1,11.1,7.2,22.9,11.0,9.6,0.5,17.5,0.9,187.2,0.3,0.2,0.018,0.055,0.5,1.0,0.8,0.1,2.0,0.012,0.7,0.034,295.0,0.033,0.8,35.0,0.1,245.0,390.0,0.073,1.0,357.7
salsa con queso,358,23.8,6.2,6.9,9.1,27.9,4.9,7.9,1.8,22.5,2.0,184.3,0.069,0.06,0.095,0.041,0.2,0.3,1.4,0.1,1.0,0.0,4.7,0.09,245.0,0.048,0.4,20.0,0.08,500.0,262.5,0.073,1.0,307.813
soy flour roasted,375,18.6,2.7,4.1,10.5,28.6,6.5,29.6,8.2,0.0,0.083,3.2,0.0,0.4,0.2,0.0,0.8,2.8,1.0,0.3,0.0,0.0,1.7,0.087,159.8,1.9,4.9,313.7,1.8,404.6,1734.9,0.029,3.0,249.7
azumaya tofu vitasoy,316,16.6,2.0,4.7,9.9,9.1,1.6,32.8,2.4,0.0,0.03,331.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,777.0
soybean curd cheese,340,18.2,2.6,4.0,10.3,15.5,3.6,28.1,0.0,0.0,0.094,159.5,0.0,0.0,0.006,0.0,0.3,1.1,0.3,0.2,0.0,0.0,1.4,0.011,423.0,0.9,12.6,513.0,2.0,499.5,447.8,0.068,3.9,497.4
soybean cooked,296,15.4,2.2,3.4,8.7,17.1,5.2,28.6,10.3,0.0,0.075,107.6,0.0,0.0,0.3,0.022,0.0,0.5,0.7,0.3,0.4,2.9,0.0,0.6,0.099,175.4,0.7,8.8,147.9,1.4,421.4,885.8,0.064,72.517
meatless meatballs,284,13.0,2.1,3.2,6.7,11.5,1.8,30.2,6.6,0.0,0.8,83.5,0.0,1.4,0.1,0.073,0.3,3.6,0.7,0.3,0.0,0.0,2.5,0.0,36.0,1.0,3.1,25.9,0.0,495.4,259.2,0.016,2.6,100.4
soybean raw,830,37.1,5.4,8.2,20.9,56.1,13.6,67.9,17.3,0.0,0.023,15.9,0.0,1.6,0.7,0.0,1.6,3.0,1.5,0.7,11.2,0.0,1.6,0.099,515.2,3.1,29.2,520.8,4.7,1309.4,3342.4,0.071,9.1,734.0
avocado,432,39.6,5.7,26.5,4.9,23.0,1.8,5.4,18.1,0.0,0.045,197.7,0.0,0.0,0.2,0.2,0.0,0.4,4.7,3.8,0.7,27.0,0.0,5.6,0.078,32.4,0.5,1.5,78.3,0.4,140.4,1309.5,0.052,87.302
bacon ranch salad mcdonalds,389,20.1,5.2,7.9,5.2,19.4,4.9,28.1,3.2,70.2,0.9,246.8,0.0,0.2,0.0,0.0,0.2,9.6,1.8,0.0,30.9,0.0,0.0,0.0,146.7,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,250.3
potato salad with egg,393,23.5,3.6,5.0,12.5,40.5,12.4,4.9,3.3,42.5,0.8,177.5,0.09,0.002,0.046,0.003,0.063,2.0,1.1,0.3,2.0,0.083,1.7,0.047,37.5,0.1,1.3,37.5,0.3,132.5,605.0,0.039,0.8,113.038
caesar salad with crispy chicken mcdonalds,349,16.4,4.3,6.5,4.7,19.2,4.5,25.7,3.4,55.6,0.7,243.4,0.0,0.2,0.0,0.0,0.2,9.6,1.8,0.0,30.9,0.0,0.0,0.0,188.5,0.0,1.8,0.0,0.0,0.0,784.9,0.0,0.0,285.9
