Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,PCA1,PCA2,Cluster
509,509,chinese cabbage pak choi cooked,20,0.3,0.014,0.046,0.1,3.0,1.4,2.7,1.7,0.0,0.5,162.4,0.0,0.068,0.012,0.0,0.1,0.7,0.1,0.3,44.2,0.0,0.2,0.049,158.1,0.088,1.8,18.7,0.2,49.3,630.7,0.055,0.3,211.8,-0.3282279494539859,-0.5453363158573188,1
510,510,agar,1,0.058,0.087,0.01,0.028,0.3,0.005,0.053,0.027,0.0,0.049,4.6,0.0,0.0,0.027,0.08,0.0,0.097,0.006,0.091,0.066,0.0,0.0,0.003,0.075,2.7,0.002,0.046,3.4,0.027,0.3,11.3,0.1,0.587,-1.4358728384537276,0.1720397100036772,1
511,511,watercress,4,0.006,0.071,0.027,0.0,0.4,0.099,0.8,0.2,0.0,0.038,32.3,0.0,0.0,0.028,0.085,0.0,0.034,0.003,0.1,0.085,14.6,0.0,0.3,0.069,40.8,0.063,0.056,7.1,0.048,20.4,112.2,0.095,1.59,-1.3712777695589151,0.051255739326662636,1
512,512,beet greens cooked,39,0.3,0.025,0.067,0.1,7.9,0.9,3.7,4.2,0.0,0.3,128.3,0.0,0.2,0.009,0.0,0.4,0.7,0.5,0.2,35.9,0.0,2.6,0.7,164.2,0.4,2.7,97.9,0.7,59.0,1309.0,0.097,0.7,218.9,1.2910734279579412,-1.5815763425076559,1
513,513,winter squash cooked,76,0.7,0.1,0.083,0.3,18.1,6.8,1.8,5.7,0.0,0.068,182.9,0.0,0.017,0.009,0.0,0.1,1.0,0.5,0.3,3.7,0.0,0.2,0.036,45.1,0.2,0.9,26.7,0.4,39.0,494.1,0.086,0.5,76.0,0.41382470408131494,-0.9215397141034924,1
514,514,new zealand spinach raw,8,0.1,0.077,0.078,0.043,1.4,0.2,0.8,0.8,0.0,0.017,52.6,0.0,0.051,0.063,0.0,0.003,0.3,0.2,0.2,16.8,0.0,0.8,0.2,32.5,0.07,0.4,21.8,0.4,15.7,72.8,0.006,0.2,52.8,-1.044896211408298,-0.059271897316713416,1
515,515,okra,4,0.082,0.001,0.019,0.053,0.9,0.2,0.2,0.4,0.0,0.098,10.7,0.0,0.041,0.067,0.0,0.024,0.1,0.018,0.044,2.7,0.0,0.001,0.085,9.8,0.038,0.082,6.8,0.031,7.3,35.6,0.066,0.04,14.081,-1.288136682771309,0.07686116603295287,1
516,516,yautia tannier,132,0.5,0.1,0.0,0.0,31.9,0.0,2.0,2.0,0.0,0.031,98.6,0.0,0.1,0.015,0.0,0.071,0.9,0.3,0.3,7.0,0.0,0.0,0.0,12.2,0.3,1.3,32.4,0.3,68.9,807.3,0.001,0.7,56.9,0.559473477095444,-0.720929965417596,1
517,517,mustard spinach cooked,29,0.4,0.0,0.0,0.0,5.0,0.0,3.1,3.6,0.0,0.5,170.1,0.0,0.081,0.1,0.0,0.1,0.8,0.2,0.2,117.0,0.0,0.0,0.0,284.4,0.05,1.4,12.6,0.5,32.4,513.0,0.018,0.2,414.9,-0.2585643806155985,-0.5873421944793445,1
518,518,rhubarb cooked,278,0.1,0.08,0.009,0.067,74.9,68.9,0.9,4.8,0.0,0.007,162.7,0.0,0.0,0.071,0.066,0.0,0.06,0.5,0.1,0.041,7.9,0.0,0.5,0.081,348.0,0.024,0.5,28.8,0.2,19.2,230.4,0.057,80.893,2.1290927923468144,-1.9371879417572349,1
