food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_Nutrition,Nutrition_Density,Protein_Ratio,Carbohydrate_Ratio,Fat_Ratio,Micronutrient_Sum,Nutrient_to_Calorie,Fiber_to_Sugar_Ratio,Saturated_Fat_Ratio,PCA1,PCA2,Cluster
ginger root,2,0.028,0.048,0.067,0.046,0.4,0.019,0.068,0.058,0.0,0.0,1.6,0.0,0.073,0.079,0.0,0.055,0.088,0.064,0.051,0.1,0.0,0.03,0.02,0.3,0.092,0.061,0.9,0.026,0.7,8.3,0.08,0.049,1.028,9.887,4.9435,0.136,0.8,0.126,9.200000000000001,4.6000000000000005,3.0526315789473686,1.7142857142857142,-1.8463173657672174,-0.3496383616282139,1
cloves ground,6,0.3,0.017,0.037,0.2,1.4,0.028,0.1,0.7,0.0,0.0,0.2,0.0,0.097,0.047,0.0,0.095,0.032,0.075,0.03,0.083,0.0,0.2,0.036,13.3,0.049,0.2,5.4,1.3,2.2,21.4,0.074,0.02,16.019,29.253999999999998,4.875666666666667,0.06666666666666667,0.9333333333333332,0.44999999999999996,26.799999999999997,4.466666666666666,24.999999999999996,0.05666666666666667,-1.621841462479282,-0.10457322430872991,1
paprika,19,0.9,0.1,0.1,0.5,3.7,0.7,1.0,2.4,0.0,0.061,0.8,0.0,0.0,0.077,0.045,0.0,0.05,0.7,0.2,0.1,0.022,0.0,2.0,0.061,15.6,0.061,1.4,12.1,0.1,21.4,155.0,0.024,8.206,30.622,1.6116842105263158,0.21052631578947367,0.7789473684210527,0.4263157894736842,22.822,1.201157894736842,3.428571428571429,0.11111111111111112,-1.2204947041242515,0.5956057028418336,1
ginger ground,6,0.043,0.088,0.021,0.095,1.3,0.067,0.2,0.3,0.0,0.038,0.2,0.0,0.037,0.002,0.0,0.091,0.2,0.083,0.05,0.094,0.0,0.0,0.043,2.1,0.078,0.4,3.9,0.6,3.0,23.8,0.084,0.087,4.327,29.704,4.950666666666667,0.13333333333333333,0.8666666666666667,0.06449999999999999,27.7,4.616666666666666,4.477611940298507,2.046511627906977,-1.857296972119257,-0.5839554486955133,1
black pepper,6,0.006,0.034,0.04,0.065,1.5,0.08,0.2,0.6,0.0,0.036,0.3,0.0,0.0,0.047,0.04,0.0,0.029,0.067,0.09,0.073,0.0,0.0,0.084,0.045,10.2,0.001,0.2,3.9,0.3,3.6,30.6,0.009,2.505,6.239,1.0398333333333334,0.13333333333333333,1.0,0.009,3.8000000000000003,0.6333333333333334,7.5,5.666666666666667,-1.8353513075214682,-0.14004708491432952,1
poultry seasoning,14,0.3,0.1,0.094,0.079,2.9,0.1,0.4,0.5,0.0,0.063,0.4,0.0,0.046,0.049,0.0,0.042,0.1,0.0,0.093,0.5,0.0,0.088,0.026,43.8,0.008,1.6,9.9,0.3,7.5,30.1,0.037,0.1,50.0,44.073,3.1480714285714284,0.1142857142857143,0.8285714285714285,0.19285714285714284,40.0,2.857142857142857,5.0,0.33333333333333337,-1.5852572571985208,-0.03820613786474038,1
nutmeg ground,12,0.8,0.6,0.056,0.088,1.1,0.6,0.1,0.5,0.0,0.095,0.1,0.0,0.065,0.008,0.0,0.055,0.088,0.0,0.072,0.001,0.0,0.0,0.0,4.0,0.052,0.018,4.0,0.008,4.7,7.7,0.086,0.036,6.656,14.144000000000002,1.1786666666666668,0.03333333333333333,0.3666666666666667,0.6,11.7,0.975,0.8333333333333334,0.7499999999999999,-1.1080527129591655,1.6480173664481,1
curry powder,20,0.9,0.1,0.3,0.2,3.7,0.2,0.8,2.1,0.0,0.004,0.6,0.0,0.0,0.076,0.023,0.0,0.042,0.2,0.0,0.05,0.7,0.0,1.4,0.094,30.1,0.034,1.9,16.0,0.3,22.0,97.2,0.052,7.681,31.799999999999997,1.5899999999999999,0.16,0.74,0.40499999999999997,24.6,1.23,10.5,0.11111111111111112,-1.2544382745795244,0.6082695970776667,1
coriander leaves dried,2,0.098,0.099,0.09,0.081,0.3,0.045,0.1,0.095,0.0,0.018,0.009,0.0,0.0,0.019,0.089,0.0,0.02,0.046,0.0,0.014,3.4,0.0,0.08,0.094,7.5,0.017,0.3,4.2,0.087,2.9,26.8,0.04,0.633,7.365,3.6825,0.2,0.6,0.441,6.6,3.3,2.111111111111111,1.010204081632653,-1.5037563436233345,0.6196987348315802,1
sage ground,2,0.046,0.07,0.069,0.013,0.4,0.052,0.058,0.3,0.0,0.083,0.051,0.0,0.018,0.025,0.0,0.1,0.055,0.0,0.044,0.2,0.0,0.08,0.099,11.6,0.06,0.2,3.0,0.032,0.6,7.5,0.039,0.02,12.796,11.41,5.705,0.116,0.8,0.207,10.5,5.25,5.769230769230769,1.5217391304347827,-1.815091819242361,-0.3738188991165488,1
garlic powder,10,0.029,0.003,0.045,0.016,2.3,0.068,0.5,0.3,0.0,0.082,0.2,0.0,0.0,0.011,0.056,0.0,0.031,0.059,0.008,0.093,0.091,0.0,0.039,0.008,2.4,0.003,0.2,2.4,0.035,12.8,37.0,0.077,3.269,16.255000000000003,1.6255000000000002,0.2,0.9199999999999999,0.0261,13.091000000000001,1.3091000000000002,4.411764705882352,0.10344827586206896,-1.7236667271923038,-0.1038805867122466,1
parsley fresh,1,0.078,0.016,0.037,0.01,0.2,0.001,0.1,0.1,0.0,0.056,3.3,0.0,0.0,0.047,0.07,0.0,0.092,0.02,0.002,0.081,5.1,0.0,0.029,0.013,5.2,0.085,0.2,1.9,0.046,2.2,21.1,0.094,0.509,7.963,7.963,0.4,0.8,0.702,7.5,7.5,100.0,0.20512820512820512,-1.572269361665848,-0.490118247712375,1
oregano dried,265,4.3,1.6,0.7,1.4,68.9,4.1,9.0,42.5,0.0,0.009,9.9,0.0,0.0,0.2,0.2,0.0,0.5,4.6,0.9,1.0,2.3,0.0,18.3,0.6,1597.0,0.6,36.8,270.0,5.0,148.0,1260.0,0.01,126.9,311.2,1.1743396226415095,0.13584905660377358,1.04,0.14603773584905658,187.1,0.7060377358490566,10.365853658536587,0.372093023255814,2.1648231063731402,-3.0820926749962894,0
marjoram dried,5,0.1,0.056,0.076,0.093,1.0,0.077,0.2,0.7,0.0,0.004,0.1,0.0,0.0,0.057,0.073,0.0,0.036,0.097,0.0,0.055,0.9,0.0,0.029,0.047,33.8,0.029,1.4,5.9,0.053,5.2,25.9,0.078,2.032,9.625,1.925,0.16,0.8,0.18,7.5,1.5,9.09090909090909,0.5599999999999999,-1.6069246848906562,0.22555891933844271,1
chives raw,1,0.088,0.083,0.09,0.002,0.1,0.02,0.03,0.044,0.0,0.099,2.7,0.0,0.0,0.007,0.054,0.0,0.052,0.08,0.072,0.097,1.7,0.0,0.079,0.08,2.8,0.059,0.004,1.3,0.063,1.7,8.9,0.048,0.417,3.753,3.753,0.12,0.4,0.7919999999999999,3.404,3.404,2.1999999999999997,0.9431818181818182,-1.2390368759912054,1.4528892116889638,1
garlic,4,0.026,0.033,0.078,0.089,0.9,0.043,0.2,0.064,0.0,0.018,1.6,0.0,0.0,0.058,0.024,0.0,0.068,0.09,0.005,0.061,0.9,0.0,0.056,0.003,5.1,0.069,0.046,0.7,0.01,4.3,11.2,0.014,1.253,6.609999999999999,1.6524999999999999,0.2,0.9,0.058499999999999996,5.2459999999999996,1.3114999999999999,1.488372093023256,1.2692307692307694,-1.759494057211032,0.008860790615704398,1
cinnamon ground,6,0.044,0.074,0.08,0.044,2.1,0.066,0.1,1.4,0.0,0.022,0.3,0.0,0.087,0.05,0.0,0.006,0.083,0.018,0.004,0.071,0.0,0.052,0.027,26.1,0.099,0.2,1.6,0.5,1.7,11.2,0.018,0.088,30.0,16.598,2.7663333333333333,0.06666666666666667,1.4000000000000001,0.06599999999999999,12.799999999999999,2.1333333333333333,21.21212121212121,1.6818181818181819,-1.9807081324888212,-0.9042554271873625,1
cayenne pepper,1,0.094,0.043,0.082,0.023,0.2,0.089,0.039,0.052,0.0,0.059,0.011,0.0,0.034,0.019,0.0,0.046,0.041,0.0,0.066,0.2,0.0,0.019,0.004,0.4,0.049,0.003,0.5,0.049,0.9,6.0,0.062,0.071,0.988,6.939,6.939,0.156,0.8,0.846,6.5,6.5,0.5842696629213483,0.45744680851063824,-1.528653677579932,0.47405429344891364,1
turmeric ground,8,0.2,0.093,0.014,0.019,1.4,0.062,0.2,0.5,0.0,0.064,0.2,0.0,0.085,0.1,0.0,0.097,0.1,0.0,0.04,0.6,0.0,0.033,0.075,4.0,0.083,0.9,4.2,0.2,5.9,55.6,0.02,0.009,7.8,62.026,7.75325,0.1,0.7,0.225,59.800000000000004,7.4750000000000005,8.064516129032258,0.46499999999999997,-1.768393199199137,-0.6759895457597409,1
mustard,3,0.2,0.021,0.1,0.086,0.3,0.048,0.2,0.2,0.0,0.015,4.2,0.096,0.026,0.006,0.097,0.0,0.011,0.04,0.013,0.015,0.03,0.0,0.086,0.012,3.2,0.086,0.096,2.4,0.075,5.4,7.6,0.064,1.046,6.433,2.1443333333333334,0.26666666666666666,0.39999999999999997,0.6,5.526000000000001,1.8420000000000003,4.166666666666667,0.105,-1.2024322235514928,1.3698314571051124,1
chili powder,8,0.4,0.061,0.029,0.2,1.3,0.2,0.4,0.9,0.0,0.014,0.3,0.0,0.0,0.066,0.062,0.0,0.097,0.3,0.013,0.031,0.008,0.0,1.0,0.047,8.9,0.032,0.5,4.0,0.036,8.1,52.7,0.018,3.182,11.498,1.43725,0.2,0.65,0.45,8.608,1.076,4.5,0.1525,-1.3186769466690405,0.9279406017132135,1
thyme dried,276,7.4,2.7,0.5,1.2,63.9,1.7,9.1,37.0,0.0,0.016,7.8,0.0,0.0,0.5,0.3,0.0,0.4,4.9,0.0,0.6,50.0,0.0,7.5,1.7,1890.0,0.9,123.6,220.0,7.9,201.0,814.0,0.068,120.6,489.0,1.7717391304347827,0.1318840579710145,0.9260869565217391,0.24130434782608698,374.6,1.3572463768115943,21.764705882352942,0.36486486486486486,2.241410969464044,-3.118282120003816,0
basil dried,2,0.027,0.02,0.038,0.076,0.3,0.054,0.2,0.3,0.0,0.089,0.076,0.0,0.0,0.099,0.043,0.0,0.012,0.07,0.011,0.047,0.033,0.0,0.034,0.078,15.7,0.082,0.6,5.0,0.051,1.9,18.4,0.054,1.0,3.467,1.7335,0.4,0.6,0.1215,2.533,1.2665,5.555555555555555,0.7407407407407408,-1.528929508702402,0.37909495257727543,1
dandelion greens cooked,35,0.6,0.0,0.0,0.0,6.7,1.7,2.1,3.0,0.0,0.3,94.3,0.0,0.1,0.063,0.0,0.2,0.5,0.058,0.2,18.9,0.0,0.6,0.4,147.0,0.1,1.9,25.2,0.2,44.1,243.6,0.004,0.3,180.2,280.6,8.017142857142858,0.24000000000000002,0.7657142857142857,0.15428571428571428,268.8,7.680000000000001,1.7647058823529411,0.0,-1.3062305435189454,-1.3675795640591923,0
basil fresh,2,0.089,0.069,0.019,0.03,0.2,0.064,0.2,0.1,0.0,0.058,6.4,0.0,0.0,0.06,0.064,0.0,0.075,0.094,0.02,0.074,1.3,0.0,0.014,0.047,12.4,0.075,0.2,4.5,0.069,3.9,20.7,0.085,0.752,6.018000000000001,3.0090000000000003,0.4,0.4,0.40049999999999997,5.4,2.7,1.5625,0.7752808988764046,-1.3563975913117443,0.8511173876693178,1
garden cress cooked,31,0.8,0.001,0.3,0.3,5.1,4.2,2.6,0.9,0.0,0.3,124.9,0.0,0.029,0.035,0.0,0.2,1.1,0.2,0.2,31.1,0.0,0.7,0.5,82.4,0.2,1.1,35.1,0.5,64.8,476.6,0.039,0.2,124.0,520.9010000000001,16.803258064516132,0.33548387096774196,0.6580645161290322,0.23225806451612904,511.70000000000005,16.506451612903227,0.21428571428571427,0.00125,-1.4264861906112491,-2.8357397979769914,0
onion powder,8,0.024,0.068,0.036,0.077,1.9,0.2,0.2,0.4,0.0,0.048,0.1,0.0,0.079,0.045,0.0,0.061,0.039,0.012,0.098,0.6,0.0,0.068,0.021,9.2,0.092,0.052,2.7,0.008,7.7,23.6,0.011,0.076,12.389,28.981,3.622625,0.1,0.95,0.027,26.3,3.2875,2.0,2.8333333333333335,-1.8674075087461772,-0.49124616114881375,1
dandelion greens raw,25,0.4,0.012,0.041,0.2,5.1,0.4,1.5,1.9,0.0,0.043,47.1,0.0,0.1,0.059,0.0,0.1,0.4,0.095,0.1,19.3,0.0,1.9,0.4,102.9,0.007,1.7,19.8,0.2,36.3,218.4,0.086,0.2,132.8,246.953,9.878120000000001,0.24,0.816,0.14400000000000002,238.20000000000002,9.528,4.749999999999999,0.03,-1.5620460018793307,-1.6669661041670933,0
fava beans cooked,187,0.7,0.1,0.1,0.3,33.4,3.1,12.9,9.2,0.0,0.081,121.6,0.0,0.0,0.2,0.2,0.0,0.2,1.2,0.3,0.1,0.5,0.0,0.046,0.067,61.2,0.4,2.6,73.1,0.7,212.5,455.6,0.058,56.778,271.6,1.4524064171122997,0.27593582887700535,0.7144385026737967,0.033689839572192515,215.6,1.1529411764705881,2.9677419354838706,0.14285714285714288,0.0817639536794183,-0.7785437439199259,1
mung beans cooked,212,0.8,0.2,0.1,0.3,38.7,4.0,14.2,15.4,0.0,0.083,146.8,0.0,0.0,0.3,0.3,0.0,0.1,1.2,0.8,0.1,2.0,0.0,0.3,0.005,54.5,0.3,2.8,97.0,0.6,200.0,537.3,0.099,69.586,273.7,1.2910377358490566,0.2679245283018868,0.7301886792452831,0.033962264150943396,204.8,0.9660377358490566,3.85,0.25,0.5045552812692927,-1.1698463826420094,1
white beans canned,299,0.8,0.2,0.073,0.3,55.5,0.8,19.0,12.6,0.0,0.079,183.7,0.0,0.3,0.2,0.0,0.026,0.3,0.5,0.2,0.0,0.0,2.1,0.052,191.3,0.6,7.8,133.6,1.3,238.4,1189.5,0.022,2.9,287.0,1410.773,4.718304347826087,0.25418060200668896,0.7424749163879598,0.024080267558528427,1323.1,4.425083612040133,15.749999999999998,0.25,1.9712558717510351,-3.1481413628271735,0
pink beans cooked,252,0.8,0.2,0.045,0.4,47.2,0.6,15.3,9.0,0.0,0.075,103.4,0.0,0.0,0.4,0.3,0.0,0.1,1.0,0.5,0.3,0.0,0.0,1.7,0.083,87.9,0.5,3.9,109.9,0.9,278.9,858.5,0.03,73.103,354.945,1.4085119047619048,0.24285714285714285,0.7492063492063492,0.02857142857142857,282.79999999999995,1.122222222222222,15.0,0.25,0.43932726022254065,-0.9942313609125633,1
pink beans raw,720,2.4,0.6,0.2,1.0,134.8,4.5,44.0,26.7,0.0,0.057,21.1,0.0,1.6,1.0,0.0,0.4,4.0,2.1,1.1,0.0,0.0,0.4,0.007,273.0,1.7,14.2,382.2,2.9,871.5,3074.4,0.077,5.4,495.1,3663.9,5.08875,0.24444444444444444,0.7488888888888889,0.029999999999999995,3456.6,4.800833333333333,5.933333333333334,0.25,7.594452212190871,-7.105258381307539,0
navy beans raw,701,3.1,0.4,0.5,2.9,126.4,8.1,46.4,50.8,0.0,0.059,25.2,0.0,1.6,0.8,0.0,0.3,4.6,1.5,0.9,0.0,0.0,0.08,0.018,305.8,1.7,11.4,364.0,2.9,846.6,2464.8,0.028,7.6,543.9,3056.2000000000003,4.359771754636235,0.2647646219686163,0.7212553495007133,0.03980028530670471,2828.8,4.035378031383738,6.271604938271605,0.12903225806451613,8.377137351198247,-7.7017789746122975,0
snap beans cooked,44,0.4,0.005,0.02,0.2,9.9,1.9,2.4,4.0,0.0,0.086,111.5,0.0,0.0,0.053,0.076,0.0,0.1,0.8,0.021,0.061,12.1,0.0,0.6,0.053,55.0,0.015,0.8,22.5,0.4,36.3,182.5,0.02,16.848,65.725,1.49375,0.21818181818181817,0.9,0.08181818181818182,49.199999999999996,1.1181818181818182,2.1052631578947367,0.012499999999999999,-1.2931778285269662,-0.2983553843873531,1
black eyed cowpeas raw,131,0.5,0.1,0.003,0.2,27.3,4.4,4.3,7.3,0.0,0.048,111.9,0.0,0.2,0.2,0.0,0.2,2.1,0.2,0.086,3.6,0.0,0.0,0.0,182.7,0.2,1.6,74.0,0.8,76.9,625.0,0.099,1.5,227.3,738.203,5.635137404580153,0.13129770992366413,0.833587786259542,0.03435114503816794,699.0,5.33587786259542,1.659090909090909,0.2,-0.12251046430534479,-2.072524664714949,0
edamame cooked,189,8.1,1.0,2.0,3.3,13.8,3.4,18.5,8.1,0.0,0.034,112.8,0.053,0.0,0.3,0.5,0.0,0.2,1.4,0.6,0.2,9.5,0.0,1.1,0.041,97.7,0.5,3.5,99.2,1.6,262.0,675.8,0.0,49.248,321.7,1.7021164021164021,0.3915343915343915,0.2920634920634921,0.3857142857142857,275.0,1.4550264550264551,2.3823529411764706,0.1234567901234568,0.8276647022995461,0.4785783562165743,1
black eyed cowpeas cooked,160,0.6,0.2,0.1,0.3,33.5,5.3,5.2,8.3,0.0,0.036,124.5,0.0,0.0,0.2,0.2,0.0,0.2,2.3,0.3,0.1,3.6,0.0,0.4,0.0,211.2,0.2,1.8,85.8,0.9,84.2,689.7,0.033,47.9,137.2,0.8574999999999999,0.13,0.8375,0.033749999999999995,89.60000000000001,0.56,1.5660377358490567,0.33333333333333337,-0.40536283948614116,-0.5834553834920585,1
pinto beans cooked,245,1.1,0.2,0.2,0.3,44.8,0.6,15.4,15.4,0.0,0.085,107.6,0.0,0.0,0.3,0.3,0.0,0.1,0.5,0.4,0.4,1.4,0.0,1.6,0.097,78.7,0.4,3.6,85.5,0.8,251.4,745.6,0.064,77.502,332.7,1.3579591836734692,0.25142857142857145,0.7314285714285714,0.04040816326530612,256.4,1.0465306122448979,25.666666666666668,0.18181818181818182,0.6936777648621982,-1.3373153076649515,1
pinto beans raw,670,2.4,0.5,0.4,0.8,120.7,4.1,41.3,29.9,0.0,0.036,21.9,0.0,1.4,1.0,0.0,0.4,2.3,1.5,0.9,12.2,0.0,0.4,0.062,218.1,1.7,9.8,339.7,2.2,793.2,2688.5,0.036,4.4,434.4,3221.8,4.808656716417911,0.24656716417910446,0.7205970149253732,0.03223880597014925,3028.2,4.519701492537314,7.2926829268292686,0.20833333333333334,6.96128106831251,-6.630537085704874,0
black turtle beans raw,624,1.7,0.4,0.1,0.7,116.4,3.9,39.1,28.5,0.0,0.041,20.2,0.0,1.7,0.8,0.0,0.4,3.6,1.7,0.5,0.0,0.0,0.4,0.032,294.4,1.8,16.0,294.4,1.8,809.6,2760.0,0.005,4.0,496.1,3239.6,5.191666666666666,0.25064102564102564,0.7461538461538462,0.02451923076923077,3054.4,4.894871794871795,7.3076923076923075,0.23529411764705885,6.472210319620126,-6.524795453063025,0
fava beans raw,512,2.3,0.4,0.5,0.9,87.4,8.6,39.2,37.5,0.0,0.1,16.5,0.0,0.8,0.6,0.0,0.5,4.2,1.5,0.5,2.1,0.0,0.057,0.073,154.5,1.2,10.1,288.0,2.4,631.5,1593.0,0.016,4.7,333.1,2046.9,3.9978515625,0.30625,0.6828125,0.0404296875,1881.0,3.673828125,4.3604651162790695,0.1739130434782609,5.711737437319802,-5.568541208514243,0
white beans raw,673,1.7,0.4,0.1,0.7,121.7,4.3,47.2,30.7,0.0,0.051,22.9,0.0,0.9,0.8,0.0,0.3,1.0,1.5,0.6,0.0,0.0,0.4,0.03,484.8,2.0,21.1,383.8,3.6,608.0,3625.9,0.097,7.4,707.2,4210.5,6.2563150074294205,0.28053491827637445,0.7233283803863299,0.022734026745913818,4009.7000000000003,5.957949479940565,7.1395348837209305,0.23529411764705885,7.9687998280749195,-7.969111365741001,0
navy beans canned,296,1.1,0.3,0.073,0.5,53.6,0.7,19.7,13.4,0.0,1.2,184.6,0.0,0.4,0.2,0.0,0.1,1.3,0.5,0.3,1.8,0.0,2.0,0.022,123.1,0.5,4.8,123.1,1.0,351.1,754.6,0.003,2.0,217.5,965.273,3.2610574324324326,0.2662162162162162,0.7243243243243244,0.033445945945945944,877.7,2.965202702702703,19.142857142857146,0.2727272727272727,1.7588792576787993,-2.4919090105754678,0
mung beans raw,718,2.4,0.7,0.3,0.8,129.6,13.7,49.4,33.7,0.0,0.085,18.7,0.0,1.3,1.3,0.0,0.5,4.7,4.0,0.8,9.9,0.0,1.1,0.009,273.2,1.9,14.0,391.2,2.1,759.7,2579.2,0.001,5.5,512.2,3184.8999999999996,4.435793871866295,0.27520891364902506,0.7220055710306407,0.030083565459610023,2970.3999999999996,4.137047353760445,2.4598540145985406,0.2916666666666667,7.857876071776511,-7.007691468799677,0
black turtle beans cooked,241,0.6,0.2,0.002,0.3,45.0,0.6,15.1,15.4,0.0,0.06,121.6,0.0,0.0,0.4,0.2,0.0,0.1,1.0,0.5,0.1,0.0,0.0,1.6,0.004,101.8,0.5,5.3,90.7,0.6,281.2,801.1,0.058,76.721,362.50199999999995,1.5041576763485476,0.25062240663900415,0.7468879668049793,0.022406639004149374,286.5,1.1887966804979253,25.666666666666668,0.33333333333333337,0.6751401679493488,-1.4452158289548969,1
white beans cooked,249,0.6,0.2,0.044,0.3,44.9,0.6,17.4,11.3,0.0,0.045,112.9,0.0,0.0,0.2,0.1,0.0,0.05,0.3,0.4,0.2,0.0,0.0,1.7,0.029,161.1,0.5,6.6,112.8,1.1,202.3,1004.2,0.045,74.959,283.044,1.136722891566265,0.2795180722891566,0.721285140562249,0.021686746987951804,208.9,0.8389558232931728,18.833333333333336,0.33333333333333337,0.5642334647395517,-1.0324436287084753,1
lentils raw,678,2.0,0.3,0.4,1.0,115.4,3.9,49.5,58.6,0.0,0.039,20.0,0.0,1.7,0.9,0.0,0.4,5.0,4.1,1.0,8.4,0.0,0.9,0.083,107.5,1.0,14.5,234.2,2.6,865.9,1833.6,0.048,9.2,355.9,2293.0,3.382005899705015,0.2920353982300885,0.680825958702065,0.02654867256637168,2067.7999999999997,3.0498525073746308,15.025641025641026,0.15,7.50682525971774,-6.970151721720963,0
chickpeas raw,728,12.1,1.3,2.7,5.4,121.3,21.4,38.6,34.8,0.0,0.005,23.1,0.0,1.0,1.1,0.0,0.4,3.1,3.2,1.1,8.0,0.0,1.6,0.004,210.0,1.7,12.5,230.0,4.4,732.0,1750.0,0.095,6.9,437.3,2184.1,3.0001373626373624,0.21208791208791208,0.6664835164835164,0.14958791208791208,1980.0,2.71978021978022,1.6261682242990654,0.10743801652892562,6.922479326936055,-4.910211948781244,0
lentils cooked,230,0.8,0.1,0.1,0.3,39.9,3.6,17.9,15.6,0.0,0.016,137.9,0.0,0.0,0.3,0.4,0.0,0.1,2.1,1.3,0.4,3.0,0.0,0.2,0.077,37.6,0.5,6.6,71.3,1.0,356.4,730.6,0.01,75.118,439.9,1.9126086956521737,0.31130434782608696,0.6939130434782609,0.03130434782608696,366.0,1.5913043478260869,4.333333333333333,0.125,0.7940822702865454,-1.4459680330618898,1
baked beans canned,239,0.9,0.2,0.2,0.3,53.7,20.2,12.1,10.4,0.0,0.9,182.9,0.0,0.2,0.036,0.0,0.078,1.1,0.5,0.2,0.0,0.0,0.4,0.019,86.4,0.4,3.0,68.6,0.3,188.0,569.0,0.082,5.8,166.5,714.5,2.989539748953975,0.20251046025104602,0.898744769874477,0.033891213389121336,637.6,2.667782426778243,0.5148514851485149,0.22222222222222224,0.9705007182930089,-2.036280320246201,0
lima beans cooked,216,0.7,0.2,0.022,0.3,39.3,5.5,14.7,13.2,0.0,0.012,131.2,0.0,0.0,0.3,0.2,0.0,0.1,0.8,0.8,0.3,0.0,0.0,0.3,0.052,32.0,0.4,4.5,80.8,1.0,208.7,955.0,0.027,68.6,280.922,1.300564814814815,0.2722222222222222,0.7277777777777777,0.029166666666666667,213.2,0.9870370370370369,2.4,0.28571428571428575,0.4653568063827417,-1.061475537005561,1
snap beans raw,31,0.2,0.051,0.016,0.1,7.0,3.3,1.8,2.7,0.0,0.025,90.3,0.0,0.02,0.061,0.0,0.1,0.7,0.2,0.1,12.2,0.0,0.4,0.066,37.0,0.093,1.0,25.0,0.2,38.0,211.0,0.003,0.2,61.9,247.667,7.989258064516129,0.23225806451612904,0.9032258064516129,0.05806451612903226,236.0,7.612903225806452,0.8181818181818182,0.25499999999999995,-1.4555956477204723,-1.631524475297515,0
navy beans cooked,255,1.1,0.2,0.3,0.9,47.4,0.7,15.0,19.1,0.0,0.4,116.1,0.0,0.4,0.3,0.0,0.1,1.2,0.5,0.3,0.0,0.0,0.08,0.002,125.6,0.4,4.3,96.5,1.0,262.1,708.0,0.012,1.9,212.5,887.4,3.48,0.23529411764705882,0.7435294117647059,0.03882352941176471,804.5,3.1549019607843136,27.28571428571429,0.18181818181818182,1.5868604000879682,-2.6930162977345344,0
cowpeas cooked,81,0.4,0.037,0.039,0.2,14.5,2.3,5.4,4.6,0.0,0.037,49.0,0.0,0.0,0.1,0.1,0.0,0.015,0.3,0.3,0.025,0.3,0.0,0.2,0.033,16.8,0.2,1.8,37.1,0.3,109.2,194.6,0.012,25.166,136.076,1.6799506172839505,0.26666666666666666,0.7160493827160493,0.044444444444444446,111.3,1.374074074074074,2.0,0.09249999999999999,-0.8744682212961764,-0.28909635640910003,1
lima beans raw,602,1.2,0.3,0.1,0.6,112.8,15.1,38.2,33.8,0.0,0.078,18.1,0.0,0.9,0.7,0.0,0.4,2.7,2.4,0.9,0.0,0.0,1.3,0.058,144.2,1.3,13.4,398.7,3.0,685.3,3068.7,0.087,5.0,343.6,3653.2,6.06843853820598,0.2538205980066445,0.7495016611295681,0.01794019933554817,3467.3999999999996,5.759800664451826,2.23841059602649,0.25,7.341443393870766,-7.670531350664344,0
black beans raw,662,2.8,0.7,0.2,1.2,121.0,4.1,41.9,30.1,0.0,0.065,21.4,0.0,1.7,0.9,0.0,0.4,3.8,1.7,0.6,0.0,0.0,0.4,0.026,238.6,1.6,9.7,331.7,2.1,682.9,2877.0,0.057,7.1,444.1,3403.8,5.141691842900302,0.25317220543806646,0.7311178247734139,0.038066465256797584,3208.7,4.846978851963746,7.3414634146341475,0.25,7.088090353807694,-6.827460466969894,0
baby lima beans cooked,189,0.5,0.1,0.06,0.3,35.0,2.5,12.0,10.8,0.0,0.064,130.2,0.0,0.0,0.1,0.003,0.0,0.097,1.4,0.3,0.2,10.4,0.0,1.2,0.06,50.4,0.4,3.5,100.8,1.5,201.6,739.8,0.079,58.952,273.76,1.4484656084656085,0.25396825396825395,0.7407407407407407,0.023809523809523808,215.5,1.1402116402116402,4.32,0.2,0.07424117385769222,-0.9554654003591373,1
cowpeas raw,41,0.3,0.082,0.074,0.1,8.9,4.7,3.1,3.1,0.0,0.026,80.8,0.0,0.1,0.087,0.0,0.1,1.1,0.9,0.2,31.0,0.0,0.5,0.025,61.1,0.038,0.9,54.5,0.3,61.1,202.1,0.066,0.3,108.4,271.956,6.633073170731707,0.3024390243902439,0.8682926829268293,0.06585365853658535,256.6,6.258536585365854,0.6595744680851063,0.2733333333333334,-1.1131129028230087,-1.501966919070431,0
shellie beans canned,74,0.5,0.034,0.07,0.3,15.2,1.5,4.3,8.3,0.0,0.8,222.2,0.0,0.0,0.06,0.008,0.0,0.1,0.5,0.3,0.1,7.6,0.0,0.048,0.051,71.1,0.2,2.4,36.8,0.9,73.5,267.1,0.094,28.668,111.70400000000001,1.5095135135135136,0.23243243243243242,0.8216216216216216,0.060810810810810814,83.5,1.1283783783783783,5.533333333333334,0.068,-0.8363778336058517,-0.5702343051336174,1
