food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_Nutrition,Nutrition_Density,Protein_Ratio,Carbohydrate_Ratio,Fat_Ratio,Micronutrient_Sum,Nutrient_to_Calorie,Fiber_to_Sugar_Ratio,Saturated_Fat_Ratio,PCA1,PCA2,Cluster
corn tamale,309,12.0,4.4,4.0,2.6,44.3,12.3,5.8,5.3,0.0,0.5,101.8,0.0,0.098,0.0,0.0,0.023,2.2,0.6,0.3,0.0,0.0,0.7,0.052,39.8,0.02,0.9,48.1,0.4,154.4,308.8,0.075,1.0,108.1,423.3,1.3699029126213593,0.07508090614886731,0.573462783171521,0.34951456310679613,356.90000000000003,1.1550161812297737,0.4308943089430894,0.3666666666666667,1.2001329799619969,0.2517958155489228,1
butter croissant,231,12.0,6.6,3.1,0.6,26.1,6.4,4.7,1.5,38.2,0.2,13.2,0.1,0.2,0.021,0.092,0.1,1.2,0.5,0.095,0.1,0.0,0.5,0.022,21.1,0.07,1.2,9.1,0.2,59.9,67.3,0.054,0.4,66.8,119.0,0.5151515151515151,0.0813852813852814,0.451948051948052,0.4675324675324675,76.39999999999999,0.3307359307359307,0.234375,0.5499999999999999,0.3218780166925509,1.4486119712597532,1
corned beef hash with potatoes,387,24.2,10.2,12.4,0.7,21.9,0.8,20.6,2.6,75.5,1.0,166.0,0.0,0.2,0.013,0.062,0.1,3.7,1.0,0.5,2.1,0.0,0.057,0.017,44.8,0.0,2.4,30.7,0.2,132.2,405.9,0.034,3.3,118.6,505.0,1.3049095607235142,0.2129198966408269,0.22635658914728682,0.5627906976744186,436.59999999999997,1.1281653746770024,3.25,0.4214876033057851,2.266197909145478,1.6726809677283554,2
biscuit with egg cheese bacon,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,62.3,0.1,0.4,0.097,0.067,0.4,3.4,1.1,0.2,0.0,0.095,1.5,0.098,149.4,0.4,2.3,21.8,0.2,526.4,190.0,0.087,1.6,230.2,287.995,0.6605389908256881,0.15963302752293576,0.3247706422018348,0.5222477064220183,211.895,0.4859977064220184,0.12,0.3359683794466403,2.1063657756579786,1.8847910172934619,2
bagel with ham egg cheese,483,18.5,7.9,5.7,3.3,52.4,7.0,26.7,0.4,242.6,1.3,88.7,0.2,0.7,0.1,0.048,0.6,6.0,1.4,0.1,0.0,0.001,1.2,0.018,185.3,0.4,4.1,40.1,0.4,397.3,261.7,0.098,2.4,287.6,398.201,0.824432712215321,0.22111801242236023,0.43395445134575567,0.3447204968944099,301.801,0.6248467908902692,0.05714285714285715,0.42702702702702705,2.4073613017381006,0.9044931624476127,2
quesadilla with chicken,529,27.5,11.1,6.8,7.4,43.3,3.4,27.1,3.1,66.6,1.3,76.7,0.1,0.4,0.073,0.012,0.3,7.6,0.0,0.1,0.2,0.1,0.5,0.03,484.2,0.1,3.2,45.0,0.5,563.4,329.4,0.025,2.6,588.7,473.29999999999995,0.8947069943289224,0.20491493383742912,0.3274102079395085,0.4678638941398866,374.5,0.7079395085066162,0.911764705882353,0.4036363636363636,3.234854481920091,1.3123284053804591,2
corn rice,110,0.3,0.02,0.0,0.1,25.2,3.0,1.8,0.4,0.0,0.2,1.1,0.2,1.8,0.0,0.0,1.1,8.6,0.007,1.7,11.2,0.0,0.035,0.0,2.9,0.013,9.9,5.5,0.2,22.3,30.5,0.043,2.2,51.9,63.519999999999996,0.5774545454545454,0.06545454545454546,0.9163636363636364,0.024545454545454544,36.0,0.32727272727272727,0.13333333333333333,0.06666666666666667,-1.1569495150560933,-0.04555149117607155,1
kung pao chicken,779,42.2,8.2,13.1,18.2,41.5,18.3,59.0,9.1,157.0,2.4,451.7,0.0,0.2,0.0,0.034,0.3,16.7,3.0,1.5,42.9,0.0,6.2,0.012,120.8,0.4,4.6,145.0,1.5,567.8,1316.7,0.097,4.5,320.1,1610.8000000000002,2.067779204107831,0.3029525032092426,0.21309370988446727,0.48754813863928115,1461.7,1.8763799743260592,0.49726775956284147,0.19431279620853079,7.387034548159132,-0.09477689561529114,2
beef empanada,298,16.3,4.6,6.3,3.8,27.8,1.6,10.1,1.8,23.1,0.4,33.4,0.0,0.2,0.0,0.094,0.2,4.2,0.4,0.1,0.0,0.0,0.6,0.072,17.8,0.051,2.4,18.7,0.2,91.7,169.1,0.037,1.7,76.2,242.2,0.8127516778523489,0.13557046979865772,0.3731543624161074,0.49228187919463096,187.79999999999998,0.6302013422818792,1.125,0.2822085889570552,1.0991427753465584,1.4766362796497794,1
burrito with beef,285,8.1,1.7,1.7,4.0,43.9,4.1,9.1,4.4,2.6,0.5,65.8,0.036,0.036,0.4,0.2,0.023,0.2,3.2,1.8,0.1,0.4,0.0,0.5,0.042,67.1,0.2,3.2,40.0,0.5,150.9,270.9,0.002,65.89,219.3,0.7694736842105263,0.12771929824561404,0.616140350877193,0.2557894736842105,154.5,0.5421052631578948,1.0731707317073174,0.20987654320987656,0.640384717329934,0.3729540277256695,1
